OrderID,OrderDate,CustomerName,Age,City,Product,Category,Quantity,UnitPrice,Discount,TotalSales,PaymentMode,OrderStatus,Order_Date,Total_Sales
1,2025-10-20,Aarav,45.0,Jaipur,Laptop,Electronics,4,30815.0,15,104771.0,Cash,Cancelled,2025-10-20,104771.0
2,2025-03-24, Aarav ,51.0,Jaipur,Keyboard,Accessories,2,16883.0,10,30389.4,UPI,Processing,2025-03-24,30389.4
3,2025-03-13,Ayesha,42.0,Jaipur,Keyboard,Accessories,5,30438.0,5,144580.5,Card,Processing,2025-03-13,144580.5
5,2025-01-03,Kabir,26.0,Mumbai,Keyboard,Accessories,6,51097.0,5,291252.9,Cash,Cancelled,2025-01-03,291252.9
7,2025-05-03,Aarav,20.0,Jaipur,Keyboard,Accessories,2,35462.0,0,70924.0,UPI,Processing,2025-05-03,70924.0
8,2025-10-18,Ayesha,56.0,Mumbai,Laptop,Electronics,2,29437.0,5,55930.3,UPI,Processing,2025-10-18,55930.3
9,2025-08-10,Rehan,46.0,Mumbai,Keyboard,Accessories,3,40952.0,5,116713.2,UPI,Processing,2025-08-10,116713.2
10,2025-08-22,Najrin,28.0,Pune,Phone,Electronics,3,31966.0,10,86308.2,Cash,Processing,2025-08-22,86308.2
11,2025-04-25,Aarav,52.0,Pune,Laptop,Electronics,five,59280.0,10,320112.0,UPI,Delivered,2025-04-25,320112.0
14,2025-07-25, Riya ,44.0,Chennai,Keyboard,Accessories,7,32605.0,5,216823.25,Card,Processing,2025-07-25,216823.25
15,2025-02-20,Rehan,20.0,Delhi,Printer,Office,2,3814.0,10,6865.2,UPI,Delivered,2025-02-20,6865.2
17,2025-05-13,Zoya,45.0,Bhopal,Phone,Electronics,4,21672.0,0,86688.0,Card,Delivered,2025-05-13,86688.0
18,2025-11-26,Zoya,19.0,Delhi,Keyboard,Accessories,7,56285.0,5,374295.25,Card,Processing,2025-11-26,374295.25
20,2025-11-01,Rehan,30.0,Bhopal,Phone,Electronics,2,39262.0,5,74597.8,Cash,Delivered,2025-11-01,74597.8
22,2025-07-06,Diya,58.0,Pune,Laptop,Electronics,4,28279.0,15,96148.6,Cash,Cancelled,2025-07-06,96148.6
24,2025-04-10,Najrin,47.0,Pune,Keyboard,Accessories,8,33761.0,10,243079.2,Cash,Processing,2025-04-10,243079.2
25,2025-11-24,Ayesha,40.0,Pune,Keyboard,Accessories,8,59874.0,15,407143.2,Cash,Cancelled,2025-11-24,407143.2
26,2025-09-03,Diya,52.0,Pune,Keyboard,Accessories,7,52505.0,5,349158.25,Card,Processing,2025-09-03,349158.25
28,2025-02-07,Rehan,57.0,Bhopal,Keyboard,Accessories,3,16284.0,5,46409.4,Cash,Delivered,2025-02-07,46409.4
29,2025-10-12,Aarav,32.0,Chennai,Laptop,Electronics,7,13065.0,15,77736.75,Card,Delivered,2025-10-12,77736.75
