,ID,Name,City,Product,Quantity,Price
0,1,Ayaan,Delhi,Laptop,2,55000
1,2,Sara,Mumbai,Mouse,5,700
2,3,Ali,Bhopal,Keyboard,3,1200
3,4,Zoya,Jaipur,Mobile,1,25000
4,5,Arjun,Pune,Printer,2,8500
5,6,Meera,Delhi,Monitor,1,15000
6,7,Kabir,Indore,Tablet,4,18000
7,8,Isha,Mumbai,Pendrive,10,500
8,9,Rehan,Bhopal,Speaker,2,3000
9,10,Neha,Chennai,Webcam,3,2200
10,11,Aman,Delhi,Smartwatch,2,7000
11,12,Riya,Pune,Charger,6,900
12,13,Danish,Jaipur,Headphones,2,2500
13,14,Simran,Mumbai,Camera,1,45000
14,15,Farhan,Indore,SSD,3,3500
15,16,Kriti,Chennai,Router,2,2800
16,17,Vivek,Delhi,Projector,1,32000
17,18,Nisha,Bhopal,RAM,4,4200
18,19,Adil,Pune,Power Bank,5,1500
19,20,Pooja,Mumbai,TV,1,60000
