OrderID,OrderDate,CustomerName,Age,City,Product,Category,Quantity,UnitPrice,Discount,TotalSales,PaymentMode,OrderStatus
1,2025-10-20,Aarav,45.0,Jaipur,Laptop,Electronics,4,30815,15,104771.0,Cash,Cancelled
2,2025-03-24, Aarav ,51.0,Jaipur,Keyboard,Accessories,2,16883,10,30389.4,UPI,Processing
3,2025-03-13,Ayesha,42.0,Jaipur,Keyboard,Accessories,5,30438,5,144580.5,Card,Processing
4,2025-12-05,Ayesha,26.0,,Phone,Electronics,8,40694,15,276719.2,UPI,Cancelled
5,2025-01-03,Kabir,26.0,Mumbai,Keyboard,Accessories,6,51097,5,291252.9,Cash,Cancelled
6,2025-10-09,Zoya,,Jaipur,Laptop,Electronics,6,55816,5,318151.2,UPI,Processing
7,2025-05-03,Aarav,20.0,Jaipur,Keyboard,Accessories,2,35462,0,70924.0,UPI,Processing
8,2025-10-18,Ayesha,56.0,Mumbai,Laptop,Electronics,2,29437,5,55930.3,UPI,Processing
9,2025-08-10,Rehan,46.0,Mumbai,Keyboard,Accessories,3,40952,5,116713.2,UPI,Processing
10,2025-08-22,Najrin,28.0,Pune,Phone,Electronics,3,31966,10,86308.2,Cash,Processing
11,2025-04-25,Aarav,52.0,Pune,Laptop,Electronics,five,59280,10,320112.0,UPI,Delivered
12,2025-05-15,Zoya,,Chennai,Phone,Electronics,7,57486,15,342041.7,Card,Delivered
13,2025-09-26,Najrin,,Jaipur,Printer,Office,2,11399,15,19378.3,Card,Processing
14,2025-07-25, Riya ,44.0,Chennai,Keyboard,Accessories,7,32605,5,216823.25,Card,Processing
15,2025-02-20,Rehan,20.0,Delhi,Printer,Office,2,3814,10,6865.2,UPI,Delivered
16,2025-02-25,Zoya,,Mumbai,Printer,Office,7,51264,15,305020.8,Cash,Cancelled
17,2025-05-13,Zoya,45.0,Bhopal,Phone,Electronics,4,21672,0,86688.0,Card,Delivered
18,2025-11-26,Zoya,19.0,Delhi,Keyboard,Accessories,7,56285,5,374295.25,Card,Processing
19,2025-02-15,Aarav,56.0,Chennai,Laptop,Electronics,5,N/A,15,47421.5,UPI,Processing
20,2025-11-01,Rehan,30.0,Bhopal,Phone,Electronics,2,39262,5,74597.8,Cash,Delivered
21,2025-02-19,Najrin,47.0,Pune,Printer,Office,8,N/A,5,334552.0,Cash,Cancelled
22,2025-07-06,Diya,58.0,Pune,Laptop,Electronics,4,28279,15,96148.59999999999,Cash,Cancelled
23,2025-04-13,Diya,,Delhi,Laptop,Electronics,6,17191,10,92831.40000000001,Cash,Processing
24,2025-04-10,Najrin,47.0,Pune,Keyboard,Accessories,8,33761,10,243079.2,Cash,Processing
25,2025-11-24,Ayesha,40.0,Pune,Keyboard,Accessories,8,59874,15,407143.2,Cash,Cancelled
26,2025-09-03,Diya,52.0,Pune,Keyboard,Accessories,7,52505,5,349158.25,Card,Processing
27,2025-10-16,Diya,56.0,,Keyboard,Accessories,1,39282,10,35353.8,Card,Processing
28,2025-02-07,Rehan,57.0,Bhopal,Keyboard,Accessories,3,16284,5,46409.4,Cash,Delivered
29,2025-10-12,Aarav,32.0,Chennai,Laptop,Electronics,7,13065,15,77736.75,Card,Delivered
30,2025-07-20,Kabir,39.0,Chennai,Phone,Electronics,6,57532,0,345192.0,Card,Cancelled
31,2025-10-24,Aarav,20.0,Chennai,Keyboard,Accessories,7,21770,5,144770.5,UPI,Delivered
32,2025-11-07,Ayesha,28.0,Delhi,Keyboard,Accessories,2,26544,15,45124.8,Card,Processing
33,2025-01-31,Riya,46.0,Pune,Printer,Office,8,47853,15,325400.4,Card,Delivered
34,2025-07-01,Rehan,39.0,Chennai,Printer,Office,7,13236,0,92652.0,Cash,Cancelled
35,2025-03-20,Aarav,29.0,Pune,Phone,Electronics,7,52509,10,330806.7,Card,Processing
